档位,本期政策,需求满足率,订购率,订足面,订足率（中烟）,订足率(济南),户均条数,下期政策,价位,是否省内
30,8,1.00 ,0.67 ,1.00 ,0.00 ,1.00 ,8,8,583,0
29,8,0.84 ,0.63 ,0.73 ,0.00 ,0.87 ,6.7,8,583,0
28,8,0.95 ,0.38 ,0.55 ,0.00 ,0.74 ,5.8,8,583,0
27,7,0.91 ,0.28 ,0.55 ,0.00 ,0.77 ,5,7,583,0
26,7,0.95 ,0.21 ,0.47 ,0.00 ,0.73 ,4.5,7,583,0
25,6,0.90 ,0.17 ,0.48 ,0.00 ,0.71 ,3.9,6,583,0
24,6,0.95 ,0.13 ,0.41 ,0.00 ,0.67 ,3.6,6,583,0
23,5,0.84 ,0.10 ,0.49 ,0.00 ,0.76 ,3.1,5,583,0
22,4,0.89 ,0.06 ,0.46 ,0.00 ,0.66 ,2.6,4,583,0
21,3,0.85 ,0.05 ,0.63 ,0.00 ,0.79 ,2.2,3,583,0
20,2,0.54 ,0.05 ,0.80 ,0.00 ,0.92 ,1.7,2,583,0
19,2,0.72 ,0.02 ,0.82 ,0.00 ,0.90 ,1.7,2,583,0
18,2,0.47 ,0.04 ,0.60 ,0.00 ,0.78 ,1.4,2,583,0
17,2,0.97 ,0.02 ,0.68 ,0.00 ,0.87 ,1.4,2,583,0
16,2,0.73 ,0.02 ,0.75 ,0.00 ,0.93 ,1.5,2,583,0
15,2,0.68 ,0.05 ,0.69 ,0.00 ,0.85 ,1.4,2,583,0
14,0,0.00 ,0.00 ,-,0.00 ,-,-,1,583,0
13,0,0.00 ,0.00 ,-,0.00 ,-,-,1,583,0
12,0,0.00 ,0.00 ,-,0.00 ,-,-,1,583,0
11,0,-,0.00 ,-,0.00 ,-,-,1,583,0
10,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
9,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
8,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
7,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
6,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
5,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
4,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
3,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
2,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
1,0,0.00 ,0.00 ,-,0.00 ,-,-,0,583,0
30,2,0.92 ,1.00 ,1.00 ,0.00 ,1.00 ,2,3,424,0
29,2,0.58 ,0.91 ,1.00 ,0.00 ,1.00 ,1.9,3,424,0
28,2,0.57 ,0.86 ,0.99 ,0.00 ,1.00 ,1.8,3,424,0
27,2,0.65 ,0.79 ,0.99 ,0.00 ,1.00 ,1.8,3,424,0
26,2,0.58 ,0.60 ,1.00 ,0.00 ,1.00 ,2,2,424,0
25,2,0.63 ,0.54 ,0.97 ,0.00 ,0.99 ,2,2,424,0
24,1,0.40 ,0.47 ,1.00 ,0.00 ,1.00 ,1,2,424,0
