档位,本期政策,需求满足率,订购率,订足面,订足率(济南),户均条数,下期政策,价位
30,8 ,100%,67%,100%,100%,8.0 ,8 ,583.00 
29,8 ,84%,63%,73%,87%,6.7 ,8 ,583.00 
28,8 ,95%,38%,55%,74%,5.8 ,8 ,583.00 
27,7 ,91%,28%,55%,77%,5.0 ,7 ,583.00 
26,7 ,95%,21%,47%,73%,4.5 ,7 ,583.00 
25,6 ,90%,17%,48%,71%,3.9 ,6 ,583.00 
24,6 ,95%,13%,41%,67%,3.6 ,6 ,583.00 
23,5 ,84%,10%,49%,76%,3.1 ,5 ,583.00 
22,4 ,89%,6%,46%,66%,2.6 ,4 ,583.00 
21,3 ,85%,5%,63%,79%,2.2 ,3 ,583.00 
20,2 ,54%,5%,80%,92%,1.7 ,2 ,583.00 
19,2 ,72%,2%,82%,90%,1.7 ,2 ,583.00 
18,2 ,47%,4%,60%,78%,1.4 ,2 ,583.00 
17,2 ,97%,2%,68%,87%,1.4 ,2 ,583.00 
16,2 ,73%,2%,75%,93%,1.5 ,2 ,583.00 
15,2 ,68%,5%,69%,85%,1.4 ,2 ,583.00 
14,0 ,0%,0%,-,-,-,1 ,583.00 
13,0 ,0%,0%,-,-,-,1 ,583.00 
12,0 ,0%,0%,-,-,-,1 ,583.00 
11,0 ,-,0%,-,-,-,1 ,583.00 
10,0 ,0%,0%,-,-,-,0 ,583.00 
9,0 ,0%,0%,-,-,-,0 ,583.00 
8,0 ,0%,0%,-,-,-,0 ,583.00 
7,0 ,0%,0%,-,-,-,0 ,583.00 
6,0 ,0%,0%,-,-,-,0 ,583.00 
5,0 ,0%,0%,-,-,-,0 ,583.00 
4,0 ,0%,0%,-,-,-,0 ,583.00 
3,0 ,0%,0%,-,-,-,0 ,583.00 
2,0 ,0%,0%,-,-,-,0 ,583.00 
1,0 ,0%,0%,-,-,-,0 ,583.00 
30,2 ,92%,100%,100%,100%,2.0,3 ,424.00 
29,2 ,58%,91%,100%,100%,1.9,3 ,424.00 
28,2 ,57%,86%,99%,100%,1.8,3 ,424.00 
27,2 ,65%,79%,99%,100%,1.8,3 ,424.00 
26,2 ,58%,60%,100%,100%,2.0,2 ,424.00 
25,2 ,63%,54%,97%,99%,2.0,2 ,424.00 
24,1 ,40%,47%,100%,100%,1.0,2 ,424.00 
23,1 ,23%,33%,100%,100%,1.0,1 ,424.00 
22,1 ,47%,25%,99%,100%,1.0,1 ,424.00 
21,0 ,0%,0%,-,-,-,0 ,424.00 
20,0 ,0%,0%,-,-,-,0 ,424.00 
19,0 ,0%,0%,-,-,-,0 ,424.00 
18,0 ,0%,0%,-,-,-,0 ,424.00 
17,0 ,0%,0%,-,-,-,0 ,424.00 
16,0 ,0%,0%,-,-,-,0 ,424.00 
15,0 ,0%,0%,-,-,-,0 ,424.00 
14,0 ,0%,0%,-,-,-,0 ,424.00 
13,0 ,0%,0%,-,-,-,0 ,424.00 
12,0 ,0%,0%,-,-,-,0 ,424.00 
11,0 ,0%,0%,-,-,-,0 ,424.00 
10,0 ,0%,0%,-,-,-,0 ,424.00 
9,0 ,0%,0%,-,-,-,0 ,424.00 
8,0 ,0%,0%,-,-,-,0 ,424.00 
7,0 ,0%,0%,-,-,-,0 ,424.00 
6,0 ,0%,0%,-,-,-,0 ,424.00 
5,0 ,0%,0%,-,-,-,0 ,424.00 
4,0 ,0%,0%,-,-,-,0 ,424.00 
3,0 ,-,0%,-,-,-,0 ,424.00 
2,0 ,-,0%,-,-,-,0 ,424.00 
1,0 ,0%,0%,-,-,-,0 ,424.00 
30,7 ,100%,67%,100%,100%,6.0 ,7 ,381.60 
29,7 ,78%,68%,76%,87%,5.3 ,7 ,381.60 
28,7 ,85%,47%,60%,77%,4.7 ,7 ,381.60 
27,6 ,87%,37%,49%,68%,4.2 ,6 ,381.60 
26,6 ,76%,29%,46%,69%,3.9 ,6 ,381.60 
25,6 ,95%,26%,38%,60%,3.6 ,6 ,381.60 
24,5 ,93%,18%,40%,63%,3.1 ,5 ,381.60 
23,5 ,93%,14%,35%,61%,2.7 ,5 ,381.60 
22,4 ,89%,10%,39%,60%,2.4 ,4 ,381.60 
21,4 ,89%,8%,34%,56%,2.3 ,4 ,381.60 
20,3 ,69%,7%,54%,72%,2.0 ,3 ,381.60 
19,3 ,83%,5%,47%,68%,1.9 ,3 ,381.60 
18,3 ,62%,5%,49%,69%,1.9 ,3 ,381.60 
17,2 ,79%,5%,78%,91%,1.5 ,2 ,381.60 
16,2 ,62%,4%,68%,77%,1.4 ,2 ,381.60 
15,2 ,46%,7%,75%,85%,1.4 ,2 ,381.60 
14,0 ,0%,0%,-,-,-,0 ,381.60 
13,0 ,0%,0%,-,-,-,0 ,381.60 
12,0 ,0%,0%,-,-,-,0 ,381.60 
11,0 ,0%,0%,-,-,-,0 ,381.60 
10,0 ,0%,0%,-,-,-,0 ,381.60 
9,0 ,0%,0%,-,-,-,0 ,381.60 
8,0 ,0%,0%,-,-,-,0 ,381.60 
7,0 ,0%,0%,-,-,-,0 ,381.60 
6,0 ,0%,0%,-,-,-,0 ,381.60 
5,0 ,0%,0%,-,-,-,0 ,381.60 
4,0 ,0%,0%,-,-,-,0 ,381.60 
