,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
0,6901028010290,中南海(京韵细支烤烟),3.0,2.0,1.0,7.0,5.0,2.474731182795699,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
1,6901028340670,云烟(中支金腰带),3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.4747311827956988,0.4747311827956988
2,6901028312356,云烟(细支大重九),2.0,2.0,2.0,5.0,4.0,0.4747311827956988,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.0
3,6901028339537,云烟(细支珍品),5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.4747311827956988,1.0,1.4747311827956988,3.0,1.4747311827956988,0.0,1.4747311827956988,0.4747311827956988
4,6901028051989,云烟(软大重九),2.0,2.0,2.0,5.0,4.0,2.474731182795699,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
5,6901028045919,云烟(软珍品),14.0,12.0,10.0,9.0,9.0,7.0,7.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
6,6901028177214,冬虫夏草(和润),4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,0.0,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
7,6901028018166,凤凰(细支),5.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4747311827956988,0.0,1.4747311827956988
8,6901028207089,利群(蓝天),15.0,15.0,13.0,12.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0
9,6901028119009,利群(西子阳光),7.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.0
10,6901028110709,利群(西湖恋),7.0,5.0,3.0,3.0,3.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4747311827956988,1.0,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.0,0.0
