品规ID,品规名
6901028157629 ,泰山(拂光)
6901028159692 ,泰山(普照)
6901028148481 ,泰山(好客)
6901028150286 ,泰山(儒风)
6901028148603 ,泰山(拂光细支)
6901028148764 ,泰山(领秀)
6901028156820 ,泰山(乐章)
6901028156677 ,泰山(将军)
6901028150194 ,泰山(新品)
6901028157087 ,泰山(硬神秀)
6901028156721 ,泰山(八喜)
6901028159609 ,泰山(红秀)
6901028154048 ,泰山(红锡包)
6901028154154 ,泰山(好客细支)
6901028150378 ,泰山(望岳)
6901028159722 ,泰山(颜悦)
6901028157803 ,泰山(硬功勋)
6901028159753 ,泰山(心悦)
6901028153898 ,泰山(大鸡)
6901028147828 ,泰山(新东方)
6901028159579 ,泰山(青秀)
6901028153171 ,泰山(绿孔府)
6901028157834 ,泰山(沂蒙)
6901028156752 ,泰山(东方)
6901028157216 ,泰山(宏图)
6901028148955 ,泰山(平安)
6901028156783 ,泰山(华贵)
6901028151634 ,泰山(白将军)
6901028153201 ,泰山(红将)
6901028159548 ,泰山(硬红八喜)
6901028157650 ,泰山(红将军)
6901028150804 ,将军(100)
6901028147392 ,将军(雪豹)
6901028147200 ,将军(潘萨) 
6901028149921 ,哈德门(纯香)
6901028149365 ,哈德门(精品)
6901028149242 ,哈德门(软)
6901028076265 ,熊猫(硬时代版)
6901028074148 ,中华(大中华)
6901028075022 ,中华(软)
6901028075015 ,中华(硬)
6901028070164 ,中南海(硬1mg)
6901028072557 ,中南海(软精品)
6901028071680 ,中南海(3mg) 
6901028070102 ,中南海(硬94mm浪漫风情)
6901028070850 ,中南海(领越)
6901028070072 ,中南海(硬酷爽风尚)
6901028071536 ,中南海(5mg细支)
6901028070133 ,中南海(软蓝色时光)
6901028071475 ,中南海(5mg)
6901028071772 ,中南海(金8mg)
6901028071895 ,中南海(浓味)
6901028073561 ,红双喜(硬晶派)
6901028075619 ,红双喜(硬精品)
6901028074872 ,红双喜(硬荷派)
6901028073745 ,红双喜(硬尚派)
6901028074711 ,红双喜(硬晶喜)
6901028073622 ,红双喜(硬上海)
6901028075145 ,红双喜(硬8mg)
6901028075084 ,红双喜(硬)
6901028075053 ,牡丹(软)
6901028073806 ,恒大(全开式烟魁)
6901028311465 ,红河(小熊猫世纪风)
6901028311434 ,红河(小熊猫清和风)
6901028055345 ,红河(硬甲)
6901028051989 ,云烟(软大重九)
6901028310833 ,云烟(软礼印象)
6901028310444 ,云烟(印象)
6901028051613 ,云烟(印象烟庄)
6901028311991 ,云烟(黄清甜香)
6901028051880 ,云烟(神秘花园)
6901028311342 ,云烟(软小熊猫)
6901028045919 ,云烟(软珍品)
6901028310628 ,云烟(软如意)
6901028311168 ,云烟(软紫)
6901028046893 ,云烟(紫)
6901028045582 ,云烟(红)
6901028317672 ,玉溪(硬庄园16支)
6901028048682 ,玉溪(软小庄园)
6901028316620 ,玉溪(软和谐)
6901028047579 ,玉溪(软弘毅)
6901028315197 ,玉溪(软尚善)
6901028317177 ,玉溪(软)
6901028326469 ,红塔山(传奇)
6901028315432 ,红塔山(硬经典100)
6901028315012 ,红塔山(软经典)
6901028250573 ,钻石(软景泰)
6901028080668 ,钻石(硬红120)
6901028079563 ,钻石(时尚景泰)
6901028079990 ,钻石(荷花)
6901028079709 ,钻石(烟波致爽)
6901028079938 ,钻石(扁蓝时尚)
6901028078252 ,钻石(时尚)
