客户编码,客户名称,联系电话,经营地址,客户经理,负责人
1037020200127 ,青岛经济技术开发区柳花泊永旺商店,15715325483,青岛市黄岛区柳花泊镇窝洛子村,客户经理[高晓岚],薛永旺
1037020200129 ,青岛经济技术开发区赵喜花商店,13573245936,青岛经济技术开发区柳花泊办事处柳西村,客户经理[高晓岚],赵喜花
1037020200134 ,黄岛区缘家福超市,15854255072,青岛市黄岛区辛安办事处台头社区,客户经理[孙冲],李传军
1037020200139 ,黄岛区爱客源百货商店,18765931319,山东省青岛市黄岛区辛安办事处港头陈村721号,客户经理[肖杰方],崔焕娥
1037020200140 ,青岛经济技术开发区新世纪利达商店,15063018186,山东省青岛市黄岛区辛安办事处港头陈社区584号,客户经理[肖杰方],陈金栋
1037020200149 ,晓明商店,15063995751,青岛开发区辛安办事处港头陈村665号,客户经理[肖杰方],韩美琴
1037020200150 ,黄岛区利民多多商店,13335095887,青岛市黄岛区柳花泊乡独垛子村,客户经理[高晓岚],李区
1037020200151 ,黄岛区静贝贝商店,18863947598,山东省青岛市黄岛区灵珠山办事处小南庄村,客户经理[高晓岚],薛芹
1037020200154 ,黄岛区乐万家商店,15853204965,山东省青岛市黄岛区辛安街道办事处港头陈村396号,客户经理[肖杰方],李宝俊
1037020200160 ,黄岛区德阳光超市,15345320189,青岛市黄岛区辛安办事处德立沟小区6号楼3单元102户,客户经理[肖杰方],李阳
1037020200163 ,黄岛区天天祥顺商店,15266230929,青岛市黄岛区团结路1507?4号（青青世界）1层网点,客户经理[孙冲],薛秀娥
1037020200170 ,黄岛区福和顺商店,18766256621,辛安街道办事处港头陈村156号,客户经理[肖杰方],陈金强
1037020200173 ,青岛经济技术开发区飞聪超市,15610009955,山东省青岛市黄岛区辛安办事处港头陈社区773号,客户经理[肖杰方],刘兵杰
1037020200187 ,黄岛区瑞丰友超市,18863948678,青岛市黄岛区辛安办事处辛安村416号,客户经理[孙冲],刘长群
1037020200196 ,黄岛区薛广敏商店,15666822563,青岛经济技术开发区龙湾崖社区140号,客户经理[和艳飞],薛广敏
1037020200198 ,黄岛区陈淑兰商店,15154289253,青岛经济技术开发区张戈庄社区580号,客户经理[和艳飞],陈淑兰
1037020200205 ,青岛如意新安大酒店有限公司,18561636557,青岛经济技术开发区淮河西路586号,客户经理[高晓岚],范积朋
1037020200210 ,青岛经济技术开发区王龙飞超市,13455251068,青岛经济技术开发区辛安办事处蜊叉泊村34号,客户经理[肖杰方],王文龙
1037020200216 ,青岛市黄岛区青国商店,15806586173,青岛经济技术开发区黄河中路331号,客户经理[高晓岚],宋美爱
1037020200219 ,黄岛区宣轩德百货商店,15066283700,山东省青岛市黄岛区灵珠山办事处独垛子村187号,客户经理[高晓岚],韩文艳
1037020200256 ,青岛经济技术开发区文忠佳超市,18866220679,青岛经济技术开发区辛安办事处上庄村328号,客户经理[高晓岚],邓文忠
1037020200268 ,青岛经济技术开发区辛安商厦有限公司,15963250008,辛安街道办事处黄河中路314号,客户经理[高晓岚],薛丽萍
1037020200275 ,青岛经济技术开发区福来红商店,18660270863,青岛经济技术开发区张戈庄社区350号,客户经理[和艳飞],陈秀美
