品规ID,档位,订足面,订足率,订单满足率,订购率,上期策略,总户数,订购量,需求量,投放量,品规名
6901028010290,二十九档,0.5,0.333333333,0.5,0.009090909,2,660,4,8,12,中南海(京韵细支烤烟)
6901028010290,二十七档,0.142857143,Inf,0.222222222,0.020348837,0,344,2,9,0,中南海(京韵细支烤烟)
6901028010290,二十档,0,NA,0,0.002647838,0,1133,0,3,0,中南海(京韵细支烤烟)
6901028010290,二十八档,0,0,0,0.009202454,1,326,0,3,3,中南海(京韵细支烤烟)
6901028010290,十四档,0,NA,0,0.000933707,0,1071,0,13,0,中南海(京韵细支烤烟)
6901028010290,十三档,0,NA,0,0.00105042,0,1904,0,11,0,中南海(京韵细支烤烟)
6901028010290,三十档,0.5,0.666666667,0.8,0.00811359,3,493,8,10,12,中南海(京韵细支烤烟)
6901028010290,十五档,0,NA,0,0.002080083,0,1923,0,5,0,中南海(京韵细支烤烟)
6901028010290,二十四档,0,NA,0,0.009933775,0,604,0,9,0,中南海(京韵细支烤烟)
6901028010290,二十二档,0,NA,0,0.009234828,0,758,0,7,0,中南海(京韵细支烤烟)
6901028010290,二十一档,0,NA,0,0.007782101,0,771,0,6,0,中南海(京韵细支烤烟)
6901028010290,六档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,十九档,0,NA,0,0.001848429,0,1082,0,3,0,中南海(京韵细支烤烟)
6901028010290,十八档,0,NA,0,0.002262443,0,1326,0,3,0,中南海(京韵细支烤烟)
6901028010290,十七档,0,NA,0,0.004302397,0,1627,0,7,0,中南海(京韵细支烤烟)
6901028010290,十六档,0,NA,0,0.002050231,0,1951,0,4,0,中南海(京韵细支烤烟)
6901028010290,一档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,九档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,八档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,二十六档,0,NA,0,0.010447761,0,670,0,11,0,中南海(京韵细支烤烟)
6901028010290,二十五档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,五档,0,NA,0,0.001116071,0,896,0,1,0,中南海(京韵细支烤烟)
6901028010290,四档,0,NA,0,0.001201923,0,832,0,1,0,中南海(京韵细支烤烟)
6901028010290,七档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,二档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,十二档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,十一档,0,NA,0,0.000627746,0,1593,0,1,0,中南海(京韵细支烤烟)
6901028010290,三档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028010290,二十三档,0,NA,0,0.007507508,0,666,0,6,0,中南海(京韵细支烤烟)
6901028010290,十档,NA,NA,NA,NA,NA,NA,NA,NA,NA,中南海(京韵细支烤烟)
6901028018166,九档,0,NA,0,0.002298851,0,870,0,3,0,凤凰(细支)
6901028018166,十八档,0.171428571,0.2,0.159090909,0.026395173,1,1326,7,44,35,凤凰(细支)
