,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
0,6901028010290,中南海(京韵细支烤烟),2,0,0,6,4,0,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6901028340670,云烟(中支金腰带),2,0,0,0,0,0,1,0,0,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6901028312356,云烟(细支大重九),0,0,1,4,4,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6901028339537,云烟(细支珍品),5,4,3,2,2,2,2,2,1,0,2,3,1,1,1,1,1,0,0,0,0,2,0,1,0,3,0,0,0,0
4,6901028051989,云烟(软大重九),0,1,0,4,4,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6901028045919,云烟(软珍品),10,8,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
6,6901028177214,冬虫夏草(和润),2,2,1,3,0,2,1,0,1,0,5,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6901028018166,凤凰(细支),5,4,3,2,2,0,2,2,1,0,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
8,6901028207089,利群(蓝天),9,9,7,6,4,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1
9,6901028119009,利群(西子阳光),7,5,3,3,1,2,1,1,1,0,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,6901028110709,利群(西湖恋),7,5,3,3,3,11,2,2,0,1,1,2,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0
11,6901028207508,利群(软红长嘴),8,7,4,5,3,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
12,6901028120708,利群(软长嘴),8,7,4,4,3,6,3,2,2,1,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
13,6901028112789,南京(九五),0,0,0,0,0,3,4,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6901028300087,南京(佳品),10,9,8,6,5,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
15,6901028062329,南京(十二钗烤烟),12,9,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
16,6901028062350,南京(十二钗薄荷),12,10,9,8,7,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
17,6901028112710,南京(红楼卷),0,0,7,3,3,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6901028111546,南京(雨花石),13,9,7,6,6,6,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1
19,6901028143677,古田(红军灰),0,2,5,2,0,0,5,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6901028228466,天子(千里江山细支),2,0,0,6,5,0,4,3,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6901028937412,延安(细支圣地河谷),0,0,0,2,2,0,0,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6901028018753,恒大(烟魁1949中支),2,2,3,4,1,0,4,4,0,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6901028156752,泰山(东方),13,13,11,10,9,8,7,6,6,5,6,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
24,6901028156783,泰山(华贵),32,32,30,28,26,27,23,22,21,19,19,17,16,16,14,13,12,11,11,10,9,9,9,8,8,8,7,7,7,7
25,6901028155618,泰山(好好学习),10,5,6,7,5,2,4,3,3,2,2,2,2,2,1,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0
26,6901028154154,泰山(好客细支),17,13,10,8,7,6,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1
27,6901028157216,泰山(宏图),41,40,38,33,32,33,27,26,25,24,21,20,19,19,19,17,16,16,15,15,13,13,13,13,12,12,12,12,12,12
28,6901028148955,泰山(平安),23,22,20,18,17,16,15,13,12,12,10,9,9,8,7,7,6,6,5,5,5,4,3,4,3,3,3,3,3,2
29,6901028159753,泰山(心悦),27,25,23,20,19,17,16,15,14,13,11,11,10,9,8,8,8,6,6,6,5,4,4,4,4,4,4,4,3,3
30,6901028148603,泰山(拂光细支),12,8,7,6,6,6,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
31,6901028150194,泰山(新品),25,22,18,17,14,15,11,10,10,8,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2
32,6901028150378,泰山(望岳),12,10,9,8,7,8,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
33,6901028151634,泰山(白将军),23,23,21,19,19,19,17,16,15,14,13,12,11,10,9,9,8,8,7,7,6,7,6,6,5,5,5,5,5,5
34,6901028156608,泰山(白将细支),16,15,13,11,11,9,9,8,8,7,6,6,6,5,4,4,3,3,3,3,3,2,3,2,2,2,2,2,1,2
35,6901028159579,泰山(青秀),12,12,10,9,8,7,6,5,4,4,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1
